65,22.222222,13.333333,0.000000,22.222774,13.333338,0.000000
66,27.777778,13.333333,0.000000,27.778502,13.333361,0.000000
76,27.777778,15.555556,0.000000,27.778521,15.555618,0.000000
75,22.222222,15.555556,0.000000,22.222750,15.555547,0.000000
67,33.333333,13.333333,0.000000,33.334230,13.333243,0.000000
77,33.333333,15.555556,0.000000,33.334293,15.555452,0.000000
86,27.777778,17.777778,0.000000,27.778367,17.777863,0.000000
85,22.222222,17.777778,0.000000,22.222737,17.777760,0.000000
88,33.333333,17.777778,0.000000,33.334344,17.777666,0.000000
87,27.777778,17.777778,0.000000,27.778714,17.777863,0.000000
